method,reversal_rate,tech_vulnerability,popularity_vulnerability
daws_direct,0.311111282051282,0.031881218274111674,0.0026365482233502544
daws_save,0.3758994871794872,0.003828426395939086,0.017093908629441625
percent_direct,0.3707779487179487,0.06233756345177665,0.0007822335025380712
percent_save,0.3682779487179487,0.005225380710659899,0.012373604060913704
rank_direct,0.36963076923076926,0.0018076142131979696,0.0176248730964467
rank_save,0.45558102564102565,0.0018076142131979696,0.05681624365482234
