w_early,w_late,n_cut,save_enabled,method,reversal_rate,tech_vulnerability,popularity_vulnerability,n_weeks,n_samples_per_week
0.3,0.2,4,False,daws_direct,0.3118302564102564,0.0238746192893401,0.0062304568527918784,197,10000
0.3,0.225,4,False,daws_direct,0.30964564102564107,0.024853299492385784,0.00515279187817259,197,10000
0.3,0.25,4,False,daws_direct,0.30803897435897437,0.025741624365482236,0.004359898477157361,197,10000
0.3,0.275,4,False,daws_direct,0.306825641025641,0.026625888324873098,0.003703045685279188,197,10000
0.3,0.3,4,False,daws_direct,0.3060184615384615,0.027388832487309646,0.0032319796954314722,197,10000
0.325,0.2,4,False,daws_direct,0.3140497435897436,0.026160913705583756,0.006065989847715736,197,10000
0.325,0.225,4,False,daws_direct,0.3118651282051282,0.02713959390862944,0.004988324873096446,197,10000
0.325,0.25,4,False,daws_direct,0.31025846153846154,0.028027918781725888,0.004195431472081218,197,10000
0.325,0.275,4,False,daws_direct,0.30904512820512825,0.02891218274111675,0.0035385786802030455,197,10000
0.325,0.3,4,False,daws_direct,0.30823794871794874,0.0296751269035533,0.0030675126903553303,197,10000
0.325,0.325,4,False,daws_direct,0.3077974358974359,0.030454822335025382,0.0026593908629441625,197,10000
0.35,0.2,4,False,daws_direct,0.31803846153846155,0.028730964467005078,0.0059593908629441625,197,10000
0.35,0.225,4,False,daws_direct,0.31585384615384615,0.02970964467005076,0.004881725888324873,197,10000
0.35,0.25,4,False,daws_direct,0.31424717948717945,0.030597969543147207,0.004088832487309645,197,10000
0.35,0.275,4,False,daws_direct,0.31303384615384616,0.03148223350253807,0.0034319796954314723,197,10000
0.35,0.3,4,False,daws_direct,0.31222666666666665,0.032245177664974624,0.0029609137055837567,197,10000
0.35,0.325,4,False,daws_direct,0.3117861538461538,0.0330248730964467,0.002552791878172589,197,10000
0.35,0.35,4,False,daws_direct,0.31158358974358974,0.03382131979695431,0.0022187817258883247,197,10000
0.375,0.2,4,False,daws_direct,0.3236179487179487,0.03153756345177665,0.005870558375634518,197,10000
0.375,0.225,4,False,daws_direct,0.3214333333333333,0.032516243654822335,0.004792893401015228,197,10000
0.375,0.25,4,False,daws_direct,0.31982666666666665,0.03340456852791878,0.004,197,10000
0.375,0.275,4,False,daws_direct,0.31861333333333336,0.03428883248730964,0.0033431472081218274,197,10000
0.375,0.3,4,False,daws_direct,0.31780615384615385,0.035051776649746194,0.0028720812182741113,197,10000
0.375,0.325,4,False,daws_direct,0.317365641025641,0.03583147208121827,0.002463959390862944,197,10000
0.375,0.35,4,False,daws_direct,0.31716307692307694,0.03662791878172589,0.00212994923857868,197,10000
0.375,0.375,4,False,daws_direct,0.317254358974359,0.03739390862944163,0.0018487309644670052,197,10000
0.4,0.2,4,False,daws_direct,0.33083538461538464,0.0345751269035533,0.005825380710659898,197,10000
0.4,0.225,4,False,daws_direct,0.32865076923076925,0.035553807106598986,0.004747715736040609,197,10000
0.4,0.25,4,False,daws_direct,0.3270441025641026,0.03644213197969543,0.003954822335025381,197,10000
0.4,0.275,4,False,daws_direct,0.3258307692307692,0.03732639593908629,0.0032979695431472078,197,10000
0.4,0.3,4,False,daws_direct,0.32502358974358975,0.038089340101522845,0.0028269035532994926,197,10000
0.4,0.325,4,False,daws_direct,0.3245830769230769,0.03886903553299492,0.002418781725888325,197,10000
0.4,0.35,4,False,daws_direct,0.32438051282051283,0.03966548223350254,0.002084771573604061,197,10000
0.4,0.375,4,False,daws_direct,0.32447179487179484,0.04043147208121827,0.0018035532994923858,197,10000
0.4,0.4,4,False,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.425,0.2,4,False,daws_direct,0.33951435897435894,0.03809137055837564,0.005789340101522843,197,10000
0.425,0.225,4,False,daws_direct,0.3373297435897436,0.039070050761421324,0.004711675126903553,197,10000
0.425,0.25,4,False,daws_direct,0.3357230769230769,0.03995837563451777,0.003918781725888325,197,10000
0.425,0.275,4,False,daws_direct,0.33450974358974356,0.040842639593908624,0.003261928934010152,197,10000
0.425,0.3,4,False,daws_direct,0.3337025641025641,0.04160558375634518,0.002790862944162437,197,10000
0.425,0.325,4,False,daws_direct,0.3332620512820513,0.04238527918781726,0.002382741116751269,197,10000
0.425,0.35,4,False,daws_direct,0.3330594871794872,0.043181725888324876,0.0020487309644670053,197,10000
0.425,0.375,4,False,daws_direct,0.3331507692307692,0.04394771573604061,0.00176751269035533,197,10000
0.425,0.4,4,False,daws_direct,0.3333610256410256,0.04475482233502538,0.0015416243654822334,197,10000
0.425,0.425,4,False,daws_direct,0.33380615384615386,0.045611167512690357,0.0013380710659898476,197,10000
0.45,0.2,4,False,daws_direct,0.34944,0.042089847715736046,0.0057644670050761414,197,10000
0.45,0.225,4,False,daws_direct,0.3472553846153846,0.04306852791878173,0.004686802030456853,197,10000
0.45,0.25,4,False,daws_direct,0.34564871794871793,0.04395685279187817,0.0038939086294416244,197,10000
0.45,0.275,4,False,daws_direct,0.34443538461538464,0.04484111675126904,0.003237055837563452,197,10000
0.45,0.3,4,False,daws_direct,0.3436282051282052,0.045604060913705585,0.002765989847715736,197,10000
0.45,0.325,4,False,daws_direct,0.3431876923076923,0.04638375634517767,0.0023578680203045687,197,10000
0.45,0.35,4,False,daws_direct,0.34298512820512816,0.04718020304568528,0.0020238578680203045,197,10000
0.45,0.375,4,False,daws_direct,0.3430764102564103,0.04794619289340101,0.0017426395939086293,197,10000
0.45,0.4,4,False,daws_direct,0.3432866666666667,0.048753299492385785,0.001516751269035533,197,10000
0.45,0.425,4,False,daws_direct,0.34373179487179484,0.04960964467005076,0.001313197969543147,197,10000
0.45,0.45,4,False,daws_direct,0.3443897435897436,0.05051928934010152,0.0011436548223350254,197,10000
0.475,0.2,4,False,daws_direct,0.3609723076923077,0.046641624365482234,0.005741116751269036,197,10000
0.475,0.225,4,False,daws_direct,0.3587876923076923,0.047620304568527914,0.004663451776649746,197,10000
0.475,0.25,4,False,daws_direct,0.35718102564102566,0.04850862944162437,0.0038705583756345175,197,10000
0.475,0.275,4,False,daws_direct,0.3559676923076923,0.04939289340101523,0.003213705583756345,197,10000
0.475,0.3,4,False,daws_direct,0.3551605128205128,0.05015583756345178,0.0027426395939086296,197,10000
0.475,0.325,4,False,daws_direct,0.35472,0.05093553299492386,0.0023345177664974622,197,10000
0.475,0.35,4,False,daws_direct,0.3545174358974359,0.051731979695431474,0.002000507614213198,197,10000
0.475,0.375,4,False,daws_direct,0.35460871794871796,0.052497969543147206,0.0017192893401015228,197,10000
0.475,0.4,4,False,daws_direct,0.35481897435897436,0.05330507614213197,0.0014934010152284265,197,10000
0.475,0.425,4,False,daws_direct,0.35526410256410257,0.054161421319796954,0.0012898477157360405,197,10000
0.475,0.45,4,False,daws_direct,0.35592205128205123,0.05507106598984772,0.0011203045685279189,197,10000
0.5,0.2,4,False,daws_direct,0.37379897435897436,0.05175279187817259,0.005725888324873096,197,10000
0.5,0.225,4,False,daws_direct,0.37161435897435896,0.05273147208121827,0.004648223350253807,197,10000
0.5,0.25,4,False,daws_direct,0.3700076923076923,0.05361979695431472,0.0038553299492385786,197,10000
0.5,0.275,4,False,daws_direct,0.36879435897435897,0.05450406091370558,0.003198477157360406,197,10000
0.5,0.3,4,False,daws_direct,0.36798717948717946,0.055267005076142135,0.0027274111675126902,197,10000
0.5,0.325,4,False,daws_direct,0.36754666666666663,0.05604670050761421,0.002319289340101523,197,10000
0.5,0.35,4,False,daws_direct,0.36734410256410255,0.05684314720812183,0.001985279187817259,197,10000
0.5,0.375,4,False,daws_direct,0.3674353846153846,0.05760913705583756,0.0017040609137055837,197,10000
0.5,0.4,4,False,daws_direct,0.367645641025641,0.05841624365482233,0.0014781725888324874,197,10000
0.5,0.425,4,False,daws_direct,0.3680907692307692,0.05927258883248731,0.0012746192893401014,197,10000
0.5,0.45,4,False,daws_direct,0.368748717948718,0.06018223350253807,0.0011050761421319798,197,10000
0.525,0.2,4,False,daws_direct,0.38703179487179484,0.05711776649746193,0.005707106598984772,197,10000
0.525,0.225,4,False,daws_direct,0.38484717948717945,0.05809644670050761,0.004629441624365483,197,10000
0.525,0.25,4,False,daws_direct,0.3832405128205128,0.05898477157360406,0.003836548223350254,197,10000
0.525,0.275,4,False,daws_direct,0.3820271794871795,0.05986903553299493,0.003179695431472081,197,10000
0.525,0.3,4,False,daws_direct,0.38122,0.06063197969543147,0.0027086294416243657,197,10000
0.525,0.325,4,False,daws_direct,0.3807794871794872,0.061411675126903556,0.0023005076142131983,197,10000
0.525,0.35,4,False,daws_direct,0.3805769230769231,0.06220812182741117,0.001966497461928934,197,10000
0.525,0.375,4,False,daws_direct,0.38066820512820515,0.06297411167512691,0.001685279187817259,197,10000
0.525,0.4,4,False,daws_direct,0.3808784615384615,0.06378121827411168,0.0014593908629441624,197,10000
0.525,0.425,4,False,daws_direct,0.3813235897435897,0.06463756345177665,0.0012558375634517767,197,10000
0.525,0.45,4,False,daws_direct,0.3819815384615385,0.06554720812182742,0.0010862944162436548,197,10000
0.55,0.2,4,False,daws_direct,0.39968051282051287,0.06229695431472081,0.005703045685279188,197,10000
0.55,0.225,4,False,daws_direct,0.39749589743589747,0.0632756345177665,0.004625380710659898,197,10000
0.55,0.25,4,False,daws_direct,0.3958892307692308,0.06416395939086295,0.00383248730964467,197,10000
0.55,0.275,4,False,daws_direct,0.3946758974358974,0.06504822335025381,0.0031756345177664977,197,10000
0.55,0.3,4,False,daws_direct,0.393868717948718,0.06581116751269035,0.002704568527918782,197,10000
0.55,0.325,4,False,daws_direct,0.39342820512820514,0.06659086294416243,0.0022964467005076143,197,10000
0.55,0.35,4,False,daws_direct,0.39322564102564106,0.06738730964467005,0.0019624365482233505,197,10000
0.55,0.375,4,False,daws_direct,0.39331692307692306,0.06815329949238579,0.0016812182741116751,197,10000
0.55,0.4,4,False,daws_direct,0.3935271794871795,0.06896040609137057,0.0014553299492385788,197,10000
0.55,0.425,4,False,daws_direct,0.39397230769230773,0.06981675126903553,0.001251776649746193,197,10000
0.55,0.45,4,False,daws_direct,0.3946302564102564,0.07072639593908629,0.001082233502538071,197,10000
0.3,0.2,5,False,daws_direct,0.3150353846153846,0.02162233502538071,0.0069507614213197965,197,10000
0.3,0.225,5,False,daws_direct,0.3115328205128205,0.023124873096446702,0.005586802030456853,197,10000
0.3,0.25,5,False,daws_direct,0.30904205128205126,0.024568527918781724,0.004569035532994924,197,10000
0.3,0.275,5,False,daws_direct,0.3071933333333334,0.02603147208121827,0.0037934010152284262,197,10000
0.3,0.3,5,False,daws_direct,0.3060184615384615,0.027388832487309646,0.0032319796954314722,197,10000
0.325,0.2,5,False,daws_direct,0.31739333333333336,0.023301015228426397,0.006858883248730964,197,10000
0.325,0.225,5,False,daws_direct,0.31389076923076925,0.024803553299492388,0.00549492385786802,197,10000
0.325,0.25,5,False,daws_direct,0.3114,0.02624720812182741,0.004477157360406091,197,10000
0.325,0.275,5,False,daws_direct,0.3095512820512821,0.027710152284263958,0.0037015228426395936,197,10000
0.325,0.3,5,False,daws_direct,0.30837641025641027,0.029067512690355332,0.0031401015228426396,197,10000
0.325,0.325,5,False,daws_direct,0.3077974358974359,0.030454822335025382,0.0026593908629441625,197,10000
0.35,0.2,5,False,daws_direct,0.32130102564102564,0.025208121827411167,0.006806091370558376,197,10000
0.35,0.225,5,False,daws_direct,0.31779846153846153,0.026710659898477155,0.005442131979695432,197,10000
0.35,0.25,5,False,daws_direct,0.3153076923076923,0.028154314720812184,0.004424365482233502,197,10000
0.35,0.275,5,False,daws_direct,0.31345897435897435,0.02961725888324873,0.003648730964467005,197,10000
0.35,0.3,5,False,daws_direct,0.31228410256410255,0.030974619289340102,0.0030873096446700507,197,10000
0.35,0.325,5,False,daws_direct,0.3117051282051282,0.03236192893401015,0.002606598984771574,197,10000
0.35,0.35,5,False,daws_direct,0.31158358974358974,0.03382131979695431,0.0022187817258883247,197,10000
0.375,0.2,5,False,daws_direct,0.3265241025641026,0.027307106598984773,0.006761928934010153,197,10000
0.375,0.225,5,False,daws_direct,0.32302153846153847,0.02880964467005076,0.005397969543147208,197,10000
0.375,0.25,5,False,daws_direct,0.32053076923076923,0.03025329949238579,0.004380203045685279,197,10000
0.375,0.275,5,False,daws_direct,0.3186820512820513,0.03171624365482233,0.0036045685279187814,197,10000
0.375,0.3,5,False,daws_direct,0.3175071794871795,0.033073604060913704,0.0030431472081218275,197,10000
0.375,0.325,5,False,daws_direct,0.31692820512820513,0.034460913705583754,0.0025624365482233504,197,10000
0.375,0.35,5,False,daws_direct,0.3168066666666667,0.03592030456852792,0.0021746192893401014,197,10000
0.375,0.375,5,False,daws_direct,0.317254358974359,0.03739390862944163,0.0018487309644670052,197,10000
0.4,0.2,5,False,daws_direct,0.33320153846153844,0.029637563451776653,0.006737055837563451,197,10000
0.4,0.225,5,False,daws_direct,0.3296989743589744,0.031140101522842637,0.005373096446700507,197,10000
0.4,0.25,5,False,daws_direct,0.32720820512820514,0.03258375634517766,0.004355329949238579,197,10000
0.4,0.275,5,False,daws_direct,0.32535948717948715,0.034046700507614214,0.003579695431472081,197,10000
0.4,0.3,5,False,daws_direct,0.3241846153846154,0.035404060913705585,0.003018274111675127,197,10000
0.4,0.325,5,False,daws_direct,0.323605641025641,0.036791370558375634,0.00253756345177665,197,10000
0.4,0.35,5,False,daws_direct,0.32348410256410254,0.0382507614213198,0.002149746192893401,197,10000
0.4,0.375,5,False,daws_direct,0.32393179487179485,0.0397243654822335,0.0018238578680203046,197,10000
0.4,0.4,5,False,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.425,0.2,5,False,daws_direct,0.34112871794871796,0.03239796954314721,0.006712690355329949,197,10000
0.425,0.225,5,False,daws_direct,0.33762615384615385,0.0339005076142132,0.005348730964467006,197,10000
0.425,0.25,5,False,daws_direct,0.3351353846153846,0.03534416243654822,0.004330964467005076,197,10000
0.425,0.275,5,False,daws_direct,0.3332866666666667,0.03680710659898477,0.0035553299492385787,197,10000
0.425,0.3,5,False,daws_direct,0.3321117948717948,0.03816446700507614,0.0029939086294416242,197,10000
0.425,0.325,5,False,daws_direct,0.3315328205128205,0.0395517766497462,0.0025131979695431476,197,10000
0.425,0.35,5,False,daws_direct,0.33141128205128206,0.04101116751269036,0.0021253807106598986,197,10000
0.425,0.375,5,False,daws_direct,0.3318589743589744,0.042484771573604065,0.001799492385786802,197,10000
0.425,0.4,5,False,daws_direct,0.33260923076923077,0.0439989847715736,0.0015532994923857868,197,10000
0.425,0.425,5,False,daws_direct,0.33380615384615386,0.045611167512690357,0.0013380710659898476,197,10000
0.45,0.2,5,False,daws_direct,0.3500235897435897,0.03555989847715736,0.006701522842639594,197,10000
0.45,0.225,5,False,daws_direct,0.34652102564102566,0.03706243654822335,0.005337563451776649,197,10000
0.45,0.25,5,False,daws_direct,0.34403025641025636,0.038506091370558375,0.004319796954314721,197,10000
0.45,0.275,5,False,daws_direct,0.3421815384615385,0.039969035532994926,0.0035441624365482234,197,10000
0.45,0.3,5,False,daws_direct,0.3410066666666667,0.04132639593908629,0.002982741116751269,197,10000
0.45,0.325,5,False,daws_direct,0.34042769230769226,0.042713705583756346,0.002502030456852792,197,10000
0.45,0.35,5,False,daws_direct,0.34030615384615387,0.044173096446700505,0.002114213197969543,197,10000
0.45,0.375,5,False,daws_direct,0.3407538461538462,0.04564670050761421,0.0017883248730964467,197,10000
0.45,0.4,5,False,daws_direct,0.3415041025641026,0.04716091370558375,0.0015421319796954315,197,10000
0.45,0.425,5,False,daws_direct,0.34270102564102567,0.048773096446700505,0.0013269035532994925,197,10000
0.45,0.45,5,False,daws_direct,0.3443897435897436,0.05051928934010152,0.0011436548223350254,197,10000
0.475,0.2,5,False,daws_direct,0.36034769230769226,0.039201015228426395,0.006689847715736041,197,10000
0.475,0.225,5,False,daws_direct,0.3568451282051282,0.04070355329949238,0.005325888324873096,197,10000
0.475,0.25,5,False,daws_direct,0.354354358974359,0.04214720812182741,0.004308121827411167,197,10000
0.475,0.275,5,False,daws_direct,0.352505641025641,0.043610152284263966,0.0035324873096446697,197,10000
0.475,0.3,5,False,daws_direct,0.3513307692307692,0.04496751269035534,0.002971065989847716,197,10000
0.475,0.325,5,False,daws_direct,0.3507517948717949,0.04635482233502538,0.0024903553299492386,197,10000
0.475,0.35,5,False,daws_direct,0.3506302564102564,0.04781421319796954,0.00210253807106599,197,10000
0.475,0.375,5,False,daws_direct,0.35107794871794873,0.049287817258883246,0.0017766497461928932,197,10000
0.475,0.4,5,False,daws_direct,0.3518282051282051,0.05080203045685279,0.001530456852791878,197,10000
0.475,0.425,5,False,daws_direct,0.3530251282051282,0.052414213197969545,0.001315228426395939,197,10000
0.475,0.45,5,False,daws_direct,0.35471384615384616,0.054160406091370565,0.0011319796954314721,197,10000
0.5,0.2,5,False,daws_direct,0.3718169230769231,0.043313197969543145,0.006683756345177665,197,10000
0.5,0.225,5,False,daws_direct,0.36831435897435894,0.044815736040609136,0.005319796954314721,197,10000
0.5,0.25,5,False,daws_direct,0.36582358974358975,0.04625939086294416,0.004302030456852792,197,10000
0.5,0.275,5,False,daws_direct,0.36397487179487176,0.047722335025380716,0.0035263959390862943,197,10000
0.5,0.3,5,False,daws_direct,0.36279999999999996,0.04907969543147208,0.0029649746192893403,197,10000
0.5,0.325,5,False,daws_direct,0.36222102564102565,0.05046700507614213,0.0024842639593908628,197,10000
0.5,0.35,5,False,daws_direct,0.36209948717948715,0.051926395939086295,0.0020964467005076142,197,10000
0.5,0.375,5,False,daws_direct,0.36254717948717946,0.0534,0.0017705583756345178,197,10000
0.5,0.4,5,False,daws_direct,0.3632974358974359,0.05491421319796954,0.0015243654822335027,197,10000
0.5,0.425,5,False,daws_direct,0.36449435897435895,0.056526395939086295,0.0013091370558375635,197,10000
0.5,0.45,5,False,daws_direct,0.3661830769230769,0.05827258883248731,0.0011258883248730963,197,10000
0.525,0.2,5,False,daws_direct,0.38360307692307694,0.04770152284263959,0.006674619289340101,197,10000
0.525,0.225,5,False,daws_direct,0.3801005128205128,0.04920406091370558,0.005310659898477158,197,10000
0.525,0.25,5,False,daws_direct,0.3776097435897436,0.05064771573604061,0.004292893401015229,197,10000
0.525,0.275,5,False,daws_direct,0.3757610256410256,0.05211065989847716,0.0035172588832487308,197,10000
0.525,0.3,5,False,daws_direct,0.3745861538461539,0.053468020304568535,0.0029558375634517768,197,10000
0.525,0.325,5,False,daws_direct,0.3740071794871795,0.05485532994923858,0.0024751269035532997,197,10000
0.525,0.35,5,False,daws_direct,0.37388564102564104,0.056314720812182736,0.0020873096446700507,197,10000
0.525,0.375,5,False,daws_direct,0.37433333333333335,0.057788324873096444,0.001761421319796954,197,10000
0.525,0.4,5,False,daws_direct,0.37508358974358974,0.05930253807106598,0.001515228426395939,197,10000
0.525,0.425,5,False,daws_direct,0.37628051282051284,0.060914720812182736,0.0013,197,10000
0.525,0.45,5,False,daws_direct,0.3779692307692307,0.06266091370558376,0.001116751269035533,197,10000
0.55,0.2,5,False,daws_direct,0.3949830769230769,0.05199086294416244,0.006672588832487309,197,10000
0.55,0.225,5,False,daws_direct,0.3914805128205128,0.053493401015228426,0.005308629441624366,197,10000
0.55,0.25,5,False,daws_direct,0.3889897435897436,0.05493705583756345,0.004290862944162436,197,10000
0.55,0.275,5,False,daws_direct,0.38714102564102565,0.0564,0.003515228426395939,197,10000
0.55,0.3,5,False,daws_direct,0.38596615384615385,0.05775736040609137,0.0029538071065989845,197,10000
0.55,0.325,5,False,daws_direct,0.38538717948717943,0.059144670050761426,0.002473096446700508,197,10000
0.55,0.35,5,False,daws_direct,0.38526564102564104,0.060604060913705585,0.002085279187817259,197,10000
0.55,0.375,5,False,daws_direct,0.38571333333333335,0.06207766497461929,0.0017593908629441625,197,10000
