w_early,w_late,n_cut,save_enabled,method,reversal_rate,tech_vulnerability,popularity_vulnerability,n_weeks,n_samples_per_week
0.4,0.3,4,False,daws_direct,0.32502358974358975,0.038089340101522845,0.0028269035532994926,197,10000
0.4,0.4,4,False,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.5,0.4,4,False,daws_direct,0.367645641025641,0.05841624365482233,0.0014781725888324874,197,10000
0.6,0.4,4,False,daws_direct,0.417514358974359,0.07882233502538072,0.0014497461928934011,197,10000
0.7,0.4,4,False,daws_direct,0.45887846153846157,0.09664670050761422,0.0014451776649746194,197,10000
0.8,0.4,4,False,daws_direct,0.49185435897435903,0.1122289340101523,0.0014446700507614214,197,10000
0.4,0.1,5,False,daws_direct,0.35969076923076926,0.023432994923857867,0.019569035532994924,197,10000
0.4,0.2,5,False,daws_direct,0.33320153846153844,0.029637563451776653,0.006737055837563451,197,10000
0.4,0.3,5,False,daws_direct,0.3241846153846154,0.035404060913705585,0.003018274111675127,197,10000
0.4,0.4,5,False,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.5,0.4,5,False,daws_direct,0.3632974358974359,0.05491421319796954,0.0015243654822335027,197,10000
0.4,0.1,6,False,daws_direct,0.3652651282051282,0.01982994923857868,0.022870050761421318,197,10000
0.4,0.2,6,False,daws_direct,0.33103128205128207,0.026442131979695433,0.007440609137055837,197,10000
0.4,0.3,6,False,daws_direct,0.3211923076923077,0.03340152284263959,0.003137055837563452,197,10000
0.4,0.4,6,False,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.5,0.4,6,False,daws_direct,0.3567010256410257,0.051621319796954314,0.0015675126903553298,197,10000
0.4,0.3,4,True,daws_direct,0.32502358974358975,0.038089340101522845,0.0028269035532994926,197,10000
0.4,0.4,4,True,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.5,0.4,4,True,daws_direct,0.367645641025641,0.05841624365482233,0.0014781725888324874,197,10000
0.6,0.4,4,True,daws_direct,0.417514358974359,0.07882233502538072,0.0014497461928934011,197,10000
0.7,0.4,4,True,daws_direct,0.45887846153846157,0.09664670050761422,0.0014451776649746194,197,10000
0.8,0.4,4,True,daws_direct,0.49185435897435903,0.1122289340101523,0.0014446700507614214,197,10000
0.4,0.1,5,True,daws_direct,0.35969076923076926,0.023432994923857867,0.019569035532994924,197,10000
0.4,0.2,5,True,daws_direct,0.33320153846153844,0.029637563451776653,0.006737055837563451,197,10000
0.4,0.3,5,True,daws_direct,0.3241846153846154,0.035404060913705585,0.003018274111675127,197,10000
0.4,0.4,5,True,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.5,0.4,5,True,daws_direct,0.3632974358974359,0.05491421319796954,0.0015243654822335027,197,10000
0.4,0.1,6,True,daws_direct,0.3652651282051282,0.01982994923857868,0.022870050761421318,197,10000
0.4,0.2,6,True,daws_direct,0.33103128205128207,0.026442131979695433,0.007440609137055837,197,10000
0.4,0.3,6,True,daws_direct,0.3211923076923077,0.03340152284263959,0.003137055837563452,197,10000
0.4,0.4,6,True,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.5,0.4,6,True,daws_direct,0.3567010256410257,0.051621319796954314,0.0015675126903553298,197,10000
0.4,0.1,4,True,daws_save,0.38992615384615387,0.0036964467005076145,0.033328934010152286,197,10000
0.4,0.2,4,True,daws_save,0.3798861538461538,0.003954314720812183,0.02337664974619289,197,10000
0.4,0.3,4,True,daws_save,0.37194512820512826,0.004215228426395939,0.01728223350253807,197,10000
0.4,0.4,4,True,daws_save,0.3674220512820513,0.004354314720812183,0.014272081218274111,197,10000
0.5,0.4,4,True,daws_save,0.3707579487179487,0.005132487309644669,0.013933502538071066,197,10000
0.6,0.4,4,True,daws_save,0.3843625641025641,0.005995431472081219,0.013818781725888324,197,10000
0.7,0.4,4,True,daws_save,0.4013974358974359,0.006823857868020305,0.013769035532994923,197,10000
0.8,0.4,4,True,daws_save,0.41808051282051284,0.007655837563451777,0.013762944162436548,197,10000
0.4,0.0,5,True,daws_save,0.4143553846153846,0.0033345177664974622,0.05400304568527919,197,10000
0.4,0.1,5,True,daws_save,0.4069805128205128,0.0034822335025380714,0.04255837563451777,197,10000
0.4,0.2,5,True,daws_save,0.38811538461538464,0.0037781725888324878,0.02594517766497462,197,10000
0.4,0.3,5,True,daws_save,0.3749830769230769,0.004106598984771574,0.017861421319796955,197,10000
0.4,0.4,5,True,daws_save,0.3674220512820513,0.004354314720812183,0.014272081218274111,197,10000
0.5,0.4,5,True,daws_save,0.3718779487179487,0.005017766497461929,0.01412233502538071,197,10000
0.4,0.0,6,True,daws_save,0.4259020512820513,0.002815228426395939,0.06675228426395939,197,10000
0.4,0.1,6,True,daws_save,0.41485897435897434,0.003084771573604061,0.048711167512690355,197,10000
0.4,0.2,6,True,daws_save,0.39142205128205126,0.0035324873096446705,0.027873096446700506,197,10000
0.4,0.3,6,True,daws_save,0.37558,0.003993908629441625,0.018278680203045683,197,10000
0.4,0.4,6,True,daws_save,0.3674220512820513,0.004354314720812183,0.014272081218274111,197,10000
0.5,0.4,6,True,daws_save,0.3711579487179487,0.0049411167512690354,0.01422741116751269,197,10000
