method,reversal_rate,p_match_actual,p_elim_judge_top,p_elim_judge_bottom,p_elim_fan_top,p_elim_fan_bottom,expected_judge_rank_elim,expected_fan_rank_elim,save_override_rate
percent_direct,0.3707779487179487,0.6292220512820513,0.1027243654822335,0.3981355329949238,0.0007822335025380712,0.6884507614213198,5.315024365482233,6.878579695431472,
percent_save,0.3682779487179487,0.6317220512820513,0.01856954314720812,0.5782730964467004,0.012373604060913704,0.39650101522842635,6.13263654822335,6.385775126903553,0.31473147208121827
rank_direct,0.36963076923076926,0.6303692307692308,0.005076142131979695,0.6579944162436548,0.0176248730964467,0.38744467005076144,6.539016243654823,6.180449746192894,
rank_save,0.45558102564102565,0.5444189743589744,0.005076142131979695,0.8581675126903553,0.05681624365482234,0.24716751269035533,6.8913421319796955,5.429665989847716,0.32463654822335025
