season,method,reversal_rate,p_match_actual,p_elim_judge_top,p_elim_judge_bottom,p_elim_fan_top,p_elim_fan_bottom,expected_judge_rank_elim,expected_fan_rank_elim,save_override_rate
1,percent_direct,0.3959,0.6041,0.14796666666666666,0.38210000000000005,0.0033333333333333335,0.7468333333333333,2.741433333333333,3.683866666666667,
1,percent_save,0.29096666666666665,0.7090333333333333,0.0,0.6093999999999999,0.024499999999999997,0.3348333333333333,3.391966666666667,3.0930999999999997,0.4227
1,rank_direct,0.24949999999999997,0.7505000000000001,0.0,0.7737666666666666,0.08660000000000001,0.35766666666666663,3.6482666666666668,2.8964,
1,rank_save,0.32280000000000003,0.6772,0.0,0.8990333333333332,0.1567,0.22193333333333334,3.8868666666666662,2.4857333333333336,0.17213333333333333
2,percent_direct,0.3908,0.6092000000000001,0.17056666666666667,0.33258333333333334,0.0008666666666666666,0.6103,4.76955,5.8734,
2,percent_save,0.2799,0.7201,0.048916666666666664,0.5178333333333334,0.006600000000000001,0.30916666666666665,5.523616666666666,5.3163,0.3354166666666667
2,rank_direct,0.1388333333333333,0.8611666666666666,0.0,0.6187166666666667,0.04083333333333333,0.28021666666666667,5.943899999999999,5.058033333333333,
2,rank_save,0.3391,0.6608999999999999,0.0,0.8316,0.10809999999999999,0.16928333333333334,6.163683333333334,4.4344166666666665,0.39266666666666666
3,percent_direct,0.35828333333333334,0.6417166666666666,0.20496666666666666,0.61205,0.0,0.7710499999999999,4.163583333333333,5.828033333333333,
3,percent_save,0.30538333333333334,0.6946166666666667,0.16765,0.7372333333333333,1.6666666666666667e-05,0.6039166666666667,4.61565,5.549499999999999,0.18103333333333335
3,rank_direct,0.3666666666666667,0.6333333333333333,0.16666666666666666,0.8121999999999999,0.0019,0.57815,4.96435,5.3382,
3,rank_save,0.44334999999999997,0.55665,0.16666666666666666,0.9540333333333333,0.020066666666666667,0.4820166666666667,5.242133333333333,4.825233333333333,0.1933
4,percent_direct,0.2606833333333333,0.7393166666666667,0.04898333333333333,0.45846666666666663,0.00023333333333333333,0.6124833333333334,5.1432,5.91685,
4,percent_save,0.23213333333333333,0.7678666666666666,0.0031000000000000003,0.6138666666666667,0.0007499999999999999,0.4142666666666666,5.677,5.506116666666667,0.22793333333333332
4,rank_direct,0.2820833333333333,0.7179166666666666,0.0,0.6263666666666666,0.00046666666666666666,0.43195,5.870666666666668,5.461883333333333,
4,rank_save,0.4070666666666667,0.5929333333333333,0.0,0.8293499999999999,0.021083333333333332,0.29496666666666665,6.221333333333334,4.710966666666667,0.27615
5,percent_direct,0.19762857142857143,0.8023714285714286,0.16240000000000002,0.39089999999999997,0.005228571428571429,0.7261285714285715,3.6902,4.640228571428572,
5,percent_save,0.3891428571428572,0.6108571428571429,0.0,0.7108,0.15660000000000002,0.3651142857142857,4.326714285714286,4.134771428571429,0.37905714285714287
5,rank_direct,0.4234428571428572,0.5765571428571429,0.0,0.7463571428571428,0.15660000000000002,0.3739571428571429,4.539671428571428,4.033257142857143,
5,rank_save,0.5587571428571428,0.4412428571428571,0.0,0.9395285714285714,0.2543714285714286,0.21802857142857143,4.789414285714286,3.5060857142857142,0.47909999999999997
6,percent_direct,0.26398750000000004,0.7360125,0.037225,0.52735,0.00045,0.7080875,5.0714999999999995,6.1033625,
6,percent_save,0.2366625,0.7633375,0.0002875,0.6980875,0.002125,0.4759375,5.6540375,5.7238625,0.2570625
6,rank_direct,0.26263749999999997,0.7373625,0.0,0.7823875,0.006725,0.4597125,5.9369125,5.5601375,
6,rank_save,0.3125,0.6875,0.0,0.8918874999999999,0.0309,0.3831625,6.1589625,5.1388,0.2249875
7,percent_direct,0.25931666666666664,0.7406833333333335,0.032466666666666665,0.5690166666666666,8.333333333333333e-05,0.6861166666666666,5.0629333333333335,6.066416666666666,
7,percent_save,0.23486666666666667,0.7651333333333333,0.0002666666666666667,0.7481166666666667,0.00021666666666666666,0.44989999999999997,5.666433333333333,5.666049999999999,0.25565
7,rank_direct,0.2630166666666666,0.7369833333333333,0.0,0.8034166666666667,0.0009000000000000001,0.4613333333333334,5.82955,5.605316666666667,
7,rank_save,0.33126666666666665,0.6687333333333333,0.0,0.9225166666666667,0.009699999999999999,0.35661666666666664,6.065883333333333,5.15605,0.2053666666666667
8,percent_direct,0.27058571428571426,0.7294142857142857,0.0402,0.31898571428571426,0.0027285714285714283,0.6914571428571428,5.1117,6.120342857142857,
8,percent_save,0.3175,0.6825,0.0011857142857142854,0.5146857142857143,0.007500000000000001,0.41515714285714284,5.688257142857142,5.605085714285714,0.30538571428571426
8,rank_direct,0.2972714285714285,0.7027285714285715,0.0,0.5112428571428571,0.004557142857142857,0.4747571428571429,5.769385714285714,5.7142,
8,rank_save,0.5900428571428572,0.40995714285714285,0.0,0.8252714285714287,0.0863,0.21839999999999998,6.207071428571429,4.651371428571429,0.5333571428571429
9,percent_direct,0.326375,0.6736249999999999,0.0237,0.43032499999999996,0.0,0.680625,5.724,7.316075,
9,percent_save,0.299275,0.700725,0.0006000000000000001,0.60455,0.0,0.465675,6.417275,6.865724999999999,0.2683
9,rank_direct,0.2502,0.7498,0.0,0.6544,0.0,0.4843,6.663375,6.8016749999999995,
9,rank_save,0.383425,0.616575,0.0,0.837475,0.002525,0.367325,6.9709,6.1371,0.28959999999999997
