w_early,w_late,n_cut,save_enabled,method,reversal_rate,tech_vulnerability,popularity_vulnerability,n_weeks,n_samples_per_week
0.4,0.0,4,False,daws_direct,0.3797948717948718,0.02182741116751269,0.0401015228426396,197,50
0.4,0.2,4,False,daws_direct,0.3367179487179487,0.03248730964467005,0.007512690355329949,197,50
0.5,0.0,4,False,daws_direct,0.42882051282051287,0.039796954314720814,0.0401015228426396,197,50
0.5,0.2,4,False,daws_direct,0.38574358974358974,0.05045685279187817,0.007512690355329949,197,50
0.4,0.0,5,False,daws_direct,0.4123076923076923,0.015025380710659899,0.05634517766497462,197,50
0.4,0.2,5,False,daws_direct,0.3375384615384615,0.02751269035532995,0.00934010152284264,197,50
0.5,0.0,5,False,daws_direct,0.45579487179487177,0.029035532994923858,0.05634517766497462,197,50
0.5,0.2,5,False,daws_direct,0.381025641025641,0.04152284263959391,0.00934010152284264,197,50
0.4,0.0,4,True,daws_direct,0.3797948717948718,0.02182741116751269,0.0401015228426396,197,50
0.4,0.2,4,True,daws_direct,0.3367179487179487,0.03248730964467005,0.007512690355329949,197,50
0.5,0.0,4,True,daws_direct,0.42882051282051287,0.039796954314720814,0.0401015228426396,197,50
0.5,0.2,4,True,daws_direct,0.38574358974358974,0.05045685279187817,0.007512690355329949,197,50
0.4,0.0,5,True,daws_direct,0.4123076923076923,0.015025380710659899,0.05634517766497462,197,50
0.4,0.2,5,True,daws_direct,0.3375384615384615,0.02751269035532995,0.00934010152284264,197,50
0.5,0.0,5,True,daws_direct,0.45579487179487177,0.029035532994923858,0.05634517766497462,197,50
0.5,0.2,5,True,daws_direct,0.381025641025641,0.04152284263959391,0.00934010152284264,197,50
0.4,0.0,4,True,daws_save,0.39692307692307693,0.0031472081218274113,0.040812182741116754,197,50
0.4,0.2,4,True,daws_save,0.3842051282051282,0.0035532994923857864,0.0249746192893401,197,50
0.5,0.0,4,True,daws_save,0.40010256410256406,0.0038578680203045688,0.04020304568527919,197,50
0.5,0.2,4,True,daws_save,0.38738461538461544,0.004263959390862944,0.024365482233502538,197,50
0.4,0.0,5,True,daws_save,0.4187692307692307,0.0027411167512690357,0.05644670050761421,197,50
0.4,0.2,5,True,daws_save,0.3923076923076923,0.0033502538071065987,0.02862944162436548,197,50
0.5,0.0,5,True,daws_save,0.42235897435897435,0.0034517766497461928,0.05644670050761421,197,50
0.5,0.2,5,True,daws_save,0.3958974358974359,0.0040609137055837565,0.02862944162436548,197,50
