season,celebrity_name,week1_fan_vote,week2_fan_vote,week3_fan_vote,week4_fan_vote,week5_fan_vote,week6_fan_vote,week7_fan_vote,week8_fan_vote,week9_fan_vote,week10_fan_vote,week11_fan_vote
1,Evander Holyfield,,0.34582925292624384,0.30094028916973303,,,,,,,,
1,Joey McIntyre,,0.14261860659223044,0.19454790331667668,,0.3283877941341872,,,,,,
1,John O'Hurley,,0.17787424295510032,0.18608807382069634,,0.2543796317619136,0.400222935498544,,,,,
1,Kelly Monaco,,0.2804937756849977,0.3184237336928951,,0.41723257410389947,0.5997770645014554,,,,,
1,Trista Sutter,,0.0531841218414265,,,,,,,,,
2,Drew Lachey,0.10940111475852717,0.12952798052884607,,0.12219507978308808,0.14790777252796303,0.19362207309180285,0.23249295941228065,0.34057880222839476,,,
2,George Hamilton,0.15538200838722135,0.13666284001299392,,0.1818437680781699,0.2115041634417604,0.15091260763321912,,,,,
2,Jerry Rice,0.10789153924060452,0.14256604605000744,,0.15085363011676683,0.19406419322544055,0.261395186449371,0.3547922666948123,0.43747747614824717,,,
2,Kenny Mayne,0.03554778108688199,,,,,,,,,,
2,Lisa Rinna,0.13019361052957484,0.13219152885793894,,0.14199075248909196,0.16999332491220873,0.21611724347971573,0.18991372657046118,,,,
2,Master P,0.14935524199689745,0.1658290626224519,,0.10734777226739718,,,,,,,
2,Stacy Keibler,0.08793797856098838,0.1111688932902914,,0.13506321154351664,0.15213859392215778,0.17795288934589112,0.22280104732244704,0.2219437216233577,,,
2,Tatum O'Neal,0.12241339126786072,0.05929126625595365,,,,,,,,,
2,Tia Carrere,0.10187733417144355,0.12276238238151785,,0.16070578572197,0.12439195197046873,,,,,,
3,Emmitt Smith,0.1351100486775638,0.1492168406412342,0.1650210570532383,0.2043354202096505,0.23296235781849106,,,0.30317213703319795,0.382723956177526,0.6262825442903485,
3,Harry Hamlin,0.11644541994101548,0.12696724770918663,0.058001820642023416,,,,,,,,
3,Joey Lawrence,0.10606587680148559,0.122328423758489,0.15701256884979437,0.16726717802420854,0.20920678084360164,,,0.2865677412260073,0.312585529293938,,
3,Mario Lopez,0.10949711467540446,0.12383512039919585,0.15216484678085374,0.17195158842801953,0.2119857826559848,,,0.26019721214102354,0.30469051452853624,0.3737174557096515,
3,Monique Coleman,0.1450166118295445,0.15661223599123378,0.14834530011079727,0.19884672087345512,0.2518823613488149,,,0.15006290959977306,,,
3,Shanna Moakler,0.1293285830741727,0.05108832677737646,,,,,,,,,
3,Tucker Carlson,0.037197806120481146,,,,,,,,,,
3,Vivica A. Fox,0.0956166236573866,0.12797747772818907,0.1611598968402512,0.0809199299943025,,,,,,,
3,Willa Ford,0.12572191522294576,0.14197432699509546,0.15829450972304263,0.17667916247036433,0.09396271733310739,,,,,,
4,Apolo Anton Ohno,,,0.09376442424419851,0.11177896347209983,0.125059931821166,,0.16908887246925672,0.21888931092786257,0.2901104653481186,0.4777509733962778,
4,Billy Ray Cyrus,,,0.13382884434597545,0.13376709844086904,0.16806268194110938,,0.2041334886708314,0.13604461984587388,,,
4,Clyde Drexler,,,0.11870804319827202,0.15647757562994868,0.09105488414195008,,,,,,
4,Ian Ziering,,,0.13724359205003211,0.1244486425543701,0.14651308391691523,,0.176580463465817,0.2125917005055243,0.1427928276927693,,
4,Joey Fatone,,,0.1138228968462885,0.12479871409984883,0.14937893623445556,,0.1737255982337452,0.22005480115476944,0.2881368131497568,0.30933142141948256,
4,John Ratzenberger,,,0.11603312279701353,0.15589877223568788,0.16756077452264295,,0.08911198376716299,,,,
4,Laila Ali,,,0.1191557977271696,0.13053049177019274,0.15236970742176006,,0.18735959339318536,0.21241956756596925,0.2789598938093557,0.2129176051842393,
4,Leeza Gibbons,,,0.14719015047107914,0.06229974179698233,,,,,,,
4,Shandi Finnessey,,,0.020253128319970056,,,,,,,,
5,Albert Reed,0.12135444164622364,0.05380556954407485,,,,,,,,,
5,Floyd Mayweather Jr.,0.14134794205729123,0.14410661623091164,0.19200747404238627,0.11866764597220715,,,,,,,
5,Jennie Garth,0.15341329106267546,0.15619618178669897,0.17699387344642514,0.22084619365504576,0.2832675531619786,0.41303422333172896,,,0.3909381715335126,,
5,Josie Maran,0.03343606887057215,,,,,,,,,,
5,Marie Osmond,0.1432299832652726,0.16113439164973958,0.18161237130169325,0.2137791838551968,0.2994470939969263,0.3828126971091196,,,0.6090618284664868,,
5,Mark Cuban,0.13670972409857718,0.1681944194967903,0.1918339768568766,0.2606130930910517,0.16590662582780624,,,,,,
5,Sabrina Bryan,0.12185633442899035,0.13782210331698197,0.16136587603131156,0.186093883426498,0.2513787270132897,0.20415307955915213,,,,,
5,Wayne Newton,0.14865221457039715,0.17874071797480323,0.09618642832130676,,,,,,,,
6,Adam Carolla,,0.10057372850215411,0.11259381403109046,0.06151704296998099,,,,,,,
6,Jason Taylor,,0.1320369520979749,0.13397210299904286,0.1429178164382758,0.1563098620053687,0.18209372098322293,0.22423051904259114,0.27743031174506655,0.4289928654512853,0.4114010450317677,
6,Kristi Yamaguchi,,0.10574899250901804,0.13563607169508607,0.1335555271405896,0.16335971221488962,0.18569474245326184,0.2304897842586808,0.28848175141152377,0.35354482518589814,0.5885989549682324,
6,Mario,,0.1111570000617672,0.11796258956010207,0.13515234982673774,0.1379775760641554,0.16632993975299135,0.21633980206979797,0.14162743808839523,,,
6,Marissa Jaret Winokur,,0.11547174671111737,0.13317571581151336,0.143405919641668,0.1503558367127469,0.18606514674557678,0.2289792122293938,0.2924604987550155,0.21746230936281677,,
