param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.026,0.035,-0.045,0.088,0.001,0.001,3285.0,2964.0,1.0
age_c,-0.003,0.001,-0.005,-0.001,0.0,0.0,3770.0,2915.0,1.0
log_week,-0.011,0.034,-0.079,0.055,0.0,0.001,5919.0,3017.0,1.0
industry[Athlete],-0.003,0.038,-0.079,0.066,0.001,0.001,2505.0,2617.0,1.0
industry[Model],-0.261,0.083,-0.432,-0.103,0.001,0.001,4359.0,2696.0,1.0
industry[Musician],-0.062,0.043,-0.145,0.022,0.001,0.001,2712.0,2533.0,1.0
industry[Other],-0.04,0.087,-0.222,0.123,0.001,0.002,5736.0,2703.0,1.0
industry[Politician],-0.2,0.212,-0.594,0.243,0.003,0.003,5283.0,3161.0,1.0
industry[Reality TV Star],0.019,0.04,-0.056,0.099,0.001,0.001,3387.0,2854.0,1.0
industry[TV/Host],-0.167,0.067,-0.294,-0.031,0.001,0.001,3648.0,2889.0,1.0
