param,q2.5,q50,q97.5,p_gt_0
Intercept,-0.06975,0.0335,0.1076999999999999,0.7
age_c,-0.0012749999999999999,0.002,0.006,0.8333333333333334
industry[Athlete],-0.155475,-0.004499999999999995,0.18117499999999995,0.5
industry[Model],-0.540025,-0.19550000000000003,0.16052499999999978,0.16666666666666666
industry[Musician],-0.251875,-0.10400000000000001,0.02755,0.13333333333333333
industry[Other],-0.42410000000000003,0.032,0.39372499999999994,0.6
industry[Politician],-0.931125,0.10750000000000001,0.6311249999999997,0.5666666666666667
industry[Reality TV Star],-0.137325,0.0495,0.17524999999999993,0.6666666666666666
industry[TV/Host],-0.39465,-0.092,0.199675,0.26666666666666666
log_week,-0.012199999999999997,0.0015000000000000005,0.009824999999999997,0.6333333333333333
