season,mean,hdi_lower,hdi_upper
1,-5.990478597904793e-05,-0.012865181661046195,0.01311200960035169
2,0.0004045613842348223,-0.011967885275362838,0.014212520335720354
3,-0.0008739461927346439,-0.015391695871722991,0.011175705603260765
4,0.001225050779350931,-0.00978340805211598,0.015809197137599422
5,-0.00015850422780819195,-0.014254528445403898,0.012864268941942534
6,6.19080151884691e-05,-0.012463456245589538,0.013101866722450065
7,0.0005577009511576475,-0.011527546212459692,0.014620904019139269
8,-0.00033837436318271953,-0.014125729204879159,0.011896802896308744
9,0.0006261315933093722,-0.01154931742021234,0.013304692714556825
10,0.0008075802534744576,-0.011566277330987551,0.014781700981466132
11,-0.00017546204872564977,-0.013239420565017403,0.012272189812710829
12,0.0007113983153092572,-0.011541452159695527,0.014931290443453038
13,-0.0007674550907211208,-0.014457198643298367,0.010965823304493196
14,-0.0006328320801831844,-0.01434943342826452,0.011107855752189661
15,-0.0025025105076719673,-0.01962332691796399,0.007889096694725012
16,-0.0013821334744210346,-0.01627858340454211,0.010256735485115081
17,0.00048625041133038043,-0.01197482148343388,0.014524305072530849
18,-0.00010562303456166255,-0.012637839745664122,0.012292381306668411
19,7.361519322035655e-05,-0.012109749529819431,0.01298603699905701
20,-0.001049460892465512,-0.0147867362953581,0.009975607907536694
21,-0.0005875670086780099,-0.013943956267396782,0.01108136727823129
22,0.0014418758650774277,-0.010591633748557726,0.016904572878617668
23,-1.1569637806767565e-06,-0.012110262645157539,0.012693539824753977
24,-0.0010131065179032684,-0.015086558678925879,0.010230547859501801
25,-0.0012329517154713013,-0.015740641879650165,0.010057635035660064
26,-0.00037190525012690146,-0.013816040812901283,0.012048009916161673
27,-0.0009932185816829793,-0.01569807712000711,0.010737328762641414
28,8.61183623178869e-05,-0.01218760673199738,0.012735131306833397
29,0.001831352972273701,-0.008217745679469864,0.017714907437315495
30,-0.0005818812921360423,-0.013503798396056152,0.01146439295403004
31,0.001896078176850871,-0.008467240902267855,0.01748614997792448
32,0.0013836327689466404,-0.00955837623899968,0.01684369035709161
33,0.001280110264575009,-0.009758951637951287,0.01589255167782308
34,0.0005002806638888258,-0.01151902674186773,0.01413373193244479
