season,mean,hdi_lower,hdi_upper
1,-6.801221287232541e-05,-0.014566509084952462,0.014408764029813828
2,-9.740325785877788e-05,-0.015001318215646427,0.013816021285586327
3,-0.00012550763715303768,-0.014250161511651385,0.013741082805293821
4,0.0006654855593037148,-0.012616252127896797,0.015751922508709822
5,-0.00021622847797804988,-0.01453651132691531,0.01337917250406908
6,-7.773129374435785e-05,-0.014128241532347551,0.01392452644200871
7,-0.000353961473084918,-0.014725154616606796,0.0127820943203205
8,-0.00028060704672632967,-0.014189205157022782,0.013697102456747915
9,-0.0003332233975762552,-0.014533973203777854,0.012895446955065774
10,0.0006650577664439001,-0.012252688772984315,0.015653842361732322
11,-0.0007143405877797695,-0.014863127432642318,0.012159461315806419
12,0.00017727635114175584,-0.012604635329803163,0.013960211446129928
13,-0.0007734722523205101,-0.015767105222592375,0.011633559720387073
14,-5.002885658161225e-05,-0.014910518453556506,0.014611255039512936
15,-0.002001680009229227,-0.019987740397484664,0.009789286046708643
16,-0.000943792064195053,-0.01691538557758975,0.012054570672294622
17,0.0002679759867242119,-0.013187368493081678,0.014384592024986586
18,0.001151968457460804,-0.01114315086431434,0.01658522184941338
19,-6.221658878493498e-06,-0.014070495475188247,0.01421604964694138
20,-0.0006504562112106061,-0.015737779050440364,0.011894922355262178
21,-0.0002070215270146743,-0.015438517748755059,0.013647009193291471
22,0.00065398795664885,-0.012890723318295114,0.016463411162028575
23,0.00026102334910233594,-0.013922713345238015,0.015195509091295854
24,-0.0005685651259177526,-0.015749853871930383,0.012652361466734867
25,-0.00017993843839528425,-0.014310290040664253,0.013773773253367596
26,-0.0009538661932939293,-0.015557710233259433,0.010461342657968538
27,-0.0011091351611588012,-0.016552186820627087,0.011015376921887567
28,0.000672687896017394,-0.012549991484641351,0.01678766065035572
29,0.000819561508747274,-0.011886472057507693,0.015618754029222127
30,-7.292297994857064e-05,-0.01358430974264598,0.013854528890089347
31,0.001268210522379205,-0.010647210479887648,0.016302513949807435
32,0.001576648196738715,-0.010439483469561285,0.017994601241931616
33,0.001183247729121888,-0.010631326364311803,0.016437303244365088
34,0.00021368074633120813,-0.01314041177205549,0.014686641937481424
