season,mean,hdi_lower,hdi_upper
1,0.00024753901257136275,-0.031961394459147266,0.034394091147879544
2,-0.00034459799060409597,-0.031943841017644144,0.02979788871325652
3,-0.0008902602737617804,-0.032895678584994634,0.027807601783642798
4,0.00040179745796992117,-0.03225621421155311,0.03396588043224053
5,0.0018859046117075762,-0.02556081475230587,0.034309690470784374
6,5.074119872813921e-05,-0.030721384893150575,0.0310505422101408
7,-0.0005174621245885192,-0.03243273002372494,0.028991216855953374
8,-0.000716293826861433,-0.034366765178095504,0.028488256072157932
9,0.00021714270290628646,-0.029429621653128377,0.031338342381876175
10,-0.00019595665256277813,-0.03328649369506535,0.031103845267522953
11,-0.0006201756050396313,-0.03358354374874106,0.02977486191981039
12,-0.0006095390530645334,-0.03466035728275792,0.03134848293377395
13,-0.0016744199209560802,-0.03617704610256488,0.026243085785588968
14,-0.00025721950923849083,-0.033279826413717996,0.03218618886056873
15,-0.001270751349954401,-0.035889162282378984,0.02809333725929119
16,-0.00028228451165799337,-0.03360646466582981,0.030534367824470054
17,0.00015868455809821575,-0.031965055915186086,0.032649362972989954
18,-0.0006473804463610634,-0.03211556471880333,0.028487019383135703
19,-0.0006670192293234544,-0.03291128747583856,0.029060771274264503
20,0.0005074125221044803,-0.02832859512112631,0.03044603836083433
21,0.0003539581724352165,-0.031017704972178723,0.03570027745626618
22,0.00037898343246648,-0.031690699223632234,0.03389651581521955
23,0.0011041873107927058,-0.029737885616246594,0.034856306411436166
24,-0.00031545467128772723,-0.034046447846486236,0.03195291595408392
25,0.00019772011928288,-0.029885844892054602,0.03260416315168536
26,-0.0011878300709898368,-0.0320086899958618,0.026529944649828587
27,8.172458492917268e-05,-0.030795796547288718,0.031510600655533454
28,0.0009040731275939365,-0.03258551520800116,0.03549171648380069
29,0.0004611252517143962,-0.029273203530682274,0.034178743805739806
30,-0.0007511944109517298,-0.03522817221216204,0.03144084373560082
31,0.0008284631132294375,-0.02929724851410026,0.033719897528821846
32,0.001673799354226638,-0.02653673188676153,0.03606228772359668
33,0.00044729709548345375,-0.03215779428602708,0.03350210739311477
34,0.00046420650629732134,-0.030469783688509874,0.031711708315886204
